date,BRL,CLP,COP,MXN
2012-09-14,-0.7687898766243974,-1.2678219939671216,-0.9973123472238699,-0.8593619049780956
2012-09-17,-0.743705692458242,-1.2678219939671216,-1.0159710123456196,-0.839637450096453
2012-09-18,-0.7550130708129336,-1.2678219939671216,-0.9969402900928279,-0.8307228388154262
2012-09-19,-0.7517638241592866,-1.2678219939671216,-0.9961589701176399,-0.8091031516141952
2012-09-20,-0.7564427393405384,-1.283532115238026,-1.0045860641357383,-0.8065059813984627
2012-09-21,-0.7556629201436631,-1.2423865595285144,-0.9984099157604432,-0.8040842956567664
2012-09-24,-0.7504641254978278,-1.2211903641630086,-1.0025583527715602,-0.7896945687858171
2012-09-25,-0.744745451387409,-1.272310600044523,-0.9978332272073285,-0.8081906323492084
2012-09-26,-0.7372071991509475,-1.2797916101735247,-1.004530255566082,-0.8042246832359955
2012-09-27,-0.7473448487103264,-1.2703156640101223,-0.997349552936974,-0.8200533827940394
2012-09-28,-0.7503341556316823,-1.219943529141508,-1.0000841728501317,-0.8069271441361493
2012-10-01,-0.7507240652301196,-1.2329106133651118,-0.9955450758514209,-0.8194216386875102
2012-10-02,-0.7508540350962657,-1.239892889485514,-1.0002888042722047,-0.8100156708791819
2012-10-03,-0.7494243665686608,-1.2361523844210127,-0.9986331500390686,-0.8107176087753261
2012-10-04,-0.7606017750572067,-1.253608074722018,-0.9957125015603896,-0.8450072750019535
2012-10-05,-0.7424059937967828,-1.2373992194425132,-1.0008282871122154,-0.8320214239232924
2012-10-08,-0.7464350596473056,-1.233658714378012,-1.0050697384060927,-0.8281958623893079
2012-10-09,-0.7374671388832398,-1.2274245392705103,-1.0050697384060927,-0.8023294509164072
2012-10-10,-0.7286291879853196,-1.2211903641630086,-0.9996377042928816,-0.7680397846897797
2012-10-11,-0.7294090071821948,-1.243633394550015,-0.9969216872362758,-0.7900455377338895
2012-10-12,-0.7260297906624016,-1.253608074722018,-1.0008282871122154,-0.8071377255049925
2012-10-15,-0.7379870183478233,-1.253608074722018,-1.0008282871122154,-0.8273184400191282
2012-10-16,-0.7416261745999077,-1.251613138687617,-1.0008282871122154,-0.8181932473692581
2012-10-17,-0.7434457527259504,-1.258595414808019,-1.0005864499770383,-0.833986850032495
2012-10-18,-0.7494243665686608,-1.2423865595285144,-0.9992470443052875,-0.8145431703093099
2012-10-19,-0.7483846076394939,-1.2191954281286077,-1.0008654928253196,-0.7991356334889526
