date,ffr,infl,lngdp
12/1/2002,1.474109684,1.38807125,9.469931564
3/1/2003,1.275403884,0.972405655,9.475101761
6/1/2003,1.271981327,1.447438973,9.484336721
9/1/2003,1.036103242,1.617089424,9.50094816
12/1/2003,1.015618015,1.396208835,9.512568634
3/1/2004,1.022445964,2.160758622,9.518302899
6/1/2004,1.029274373,2.418638805,9.525603564
9/1/2004,1.463822269,1.837402232,9.534653268
12/1/2004,1.996702454,1.868383476,9.543263461
3/1/2005,2.535838613,2.547251458,9.553866245
6/1/2005,3.029061173,2.124804441,9.559072858
9/1/2005,3.570139119,1.661606917,9.567441225
12/1/2005,4.117569159,2.605788508,9.573134555
3/1/2006,4.621914513,2.031609485,9.585078195
6/1/2006,5.10028023,2.68581257,9.588064225
9/1/2006,5.463158181,2.138264435,9.588954874
12/1/2006,5.463158181,1.683152619,9.596751772
3/1/2007,5.473849955,2.833975595,9.597369918
6/1/2007,5.466721985,1.407421545,9.604993912
9/1/2007,5.278005725,1.959633078,9.611697052
12/1/2007,4.664347839,2.692228932,9.615258664
3/1/2008,3.273068996,2.299690281,9.608411546
6/1/2008,2.138124025,2.011065071,9.613362498
9/1/2008,1.986362205,1.803371229,9.608552575
12/1/2008,0.51502179,0.399199618,9.587200223
3/1/2009,0.186052019,0.475293842,9.573245866
6/1/2009,0.182666176,1.943622811,9.571895389
9/1/2009,0.158968468,1.12410753,9.575157082
12/1/2009,0.121740508,2.079851686,9.584789417
3/1/2010,0.135276351,1.02002903,9.589105521
6/1/2010,0.196210233,1.056971128,9.598720357
9/1/2010,0.189437976,0.979260319,9.605452068
12/1/2010,0.189437976,0.807663223,9.611730522
3/1/2011,0.158968468,1.351644672,9.60786067
6/1/2011,0.094674295,2.420730183,9.615111906
9/1/2011,0.084526346,2.010670097,9.617211158
12/1/2011,0.074379424,1.59510839,9.628412345
3/1/2012,0.104823269,2.230972487,9.635019699
6/1/2012,0.155583538,1.870720742,9.639678244
9/1/2012,0.145429431,1.233407978,9.640875257
12/1/2012,0.162353513,1.715850925,9.641102788
3/1/2013,0.145429431,1.640472277,9.648072586
6/1/2013,0.118356832,1.136423393,9.649987881
9/1/2013,0.084526346,1.385009052,9.657670131
12/1/2013,0.087908882,1.758211632,9.667379069
3/1/2014,0.074379424,1.534449961,9.665078068
6/1/2014,0.094674295,1.93299944,9.67632343
9/1/2014,0.091291531,1.558171953,9.689024962
12/1/2014,0.101440164,1.110327955,9.694012658
3/1/2015,0.111589823,0.857378426,9.701983176
6/1/2015,0.125124297,1.66167883,9.708743151
9/1/2015,0.138660597,1.519900259,9.71278699
12/1/2015,0.162353513,1.241586841,9.713996355
3/1/2016,0.365665105,2.113826794,9.715445666
6/1/2016,0.379233834,1.962397407,9.720975978
9/1/2016,0.402983514,1.985044479,9.727829744
12/1/2016,0.45728954,1.336945041,9.732189018
3/1/2017,0.71223977,1.801724652,9.735258232
6/1/2017,0.96783526,0.912006854,9.742796363
9/1/2017,1.176196547,1.327029691,9.75056362
12/1/2017,1.227498581,1.913769637,9.757681129
3/1/2018,1.477539053,2.26492436,9.763058137
